date,area,cases
2020-08-18,Alameda,193
2020-08-19,Alameda,178
2020-08-20,Alameda,158
2020-08-21,Alameda,160
2020-08-22,Alameda,92
2020-08-23,Alameda,94
2020-08-24,Alameda,223
2020-08-25,Alameda,195
2020-08-26,Alameda,157
2020-08-27,Alameda,163
2020-08-28,Alameda,145
2020-08-29,Alameda,83
2020-08-30,Alameda,67
2020-08-31,Alameda,125
2020-09-01,Alameda,147
2020-09-02,Alameda,138
2020-09-03,Alameda,118
2020-09-04,Alameda,103
2020-09-05,Alameda,69
2020-09-06,Alameda,46
2020-09-07,Alameda,58
2020-09-08,Alameda,121
2020-09-09,Alameda,109
2020-09-10,Alameda,79
2020-09-11,Alameda,74
2020-09-12,Alameda,55
2020-09-13,Alameda,59
2020-09-14,Alameda,106
2020-09-15,Alameda,127
2020-09-16,Alameda,106
2020-09-17,Alameda,98
2020-09-18,Alameda,99
2020-09-19,Alameda,66
2020-09-20,Alameda,50
2020-09-21,Alameda,101
2020-09-22,Alameda,79
2020-09-23,Alameda,79
2020-09-24,Alameda,69
2020-09-25,Alameda,75
2020-09-26,Alameda,54
2020-09-27,Alameda,58
2020-09-28,Alameda,82
2020-09-29,Alameda,87
2020-09-30,Alameda,75
2020-10-01,Alameda,78
2020-10-02,Alameda,61
2020-10-03,Alameda,54
2020-10-04,Alameda,46
2020-10-05,Alameda,96
2020-10-06,Alameda,88
2020-10-07,Alameda,91
2020-10-08,Alameda,77
2020-10-09,Alameda,81
2020-10-10,Alameda,48
2020-10-11,Alameda,50
2020-10-12,Alameda,90
2020-10-13,Alameda,79
2020-10-14,Alameda,104
2020-10-15,Alameda,99
2020-10-16,Alameda,68
2020-10-17,Alameda,54
2020-10-18,Alameda,45
2020-10-19,Alameda,104
2020-10-20,Alameda,110
2020-10-21,Alameda,102
2020-10-22,Alameda,88
2020-10-23,Alameda,101
2020-10-24,Alameda,73
2020-10-25,Alameda,71
2020-10-26,Alameda,107
2020-10-27,Alameda,113
2020-10-28,Alameda,115
2020-10-29,Alameda,100
2020-10-30,Alameda,163
2020-10-31,Alameda,79
2020-11-01,Alameda,116
2020-11-02,Alameda,163
2020-11-03,Alameda,196
2020-11-04,Alameda,184
2020-11-05,Alameda,176
2020-11-06,Alameda,176
2020-11-07,Alameda,132
2020-11-08,Alameda,110
